analysis_fs_hz,fold,subject,scenario,channel,window,evaluation,reference_rmssd_ms,predicted_rmssd_ms,reference_hr_bpm,predicted_hr_bpm,accepted_fraction,successive_pairs_n,quality_gate,sqi,sqi_spectral,sqi_hr_agreement,sqi_coverage,sqi_prominence,sqi_concentration_raw,sqi_gate_065,sqi_gate_075,rmssd30,rmssd60,hr30,hr60,base30,base60,sqi30,sqi60,cross_fs_consistent,gate_sqi065_consistency,gate_sqi075_consistency
60.000000000,1,subject2,sit,red,3,grouped_stable,46.002682022,27.401399805,81.081081081,81.244652766,0.950617284,74,True,0.855881551,1.000000000,0.818730753,1.000000000,0.604795451,0.648218988,True,True,27.159533815,27.401399805,81.27681846,81.244652766,True,True,0.893941882,0.855881551,True,True,True
60.000000000,1,subject2,sit,ir,4,grouped_stable,13.698840383,16.133048516,80.808080808,80.696709125,1.000000000,78,True,0.880437871,1.000000000,0.803979250,0.952380952,0.765391283,0.842168821,True,True,15.768382177,16.133048516,80.6787457,80.696709125,True,True,0.88031551,0.880437871,True,True,True
60.000000000,1,subject2,sit,red,4,grouped_stable,13.698840383,18.629539314,80.808080808,81.111886694,1.000000000,78,True,0.881019263,1.000000000,0.803979250,0.952380952,0.767716848,0.823158201,True,True,18.259186299,18.629539314,81.114330321,81.111886694,True,True,0.881115259,0.881019263,True,True,True
60.000000000,1,subject2,sleep,ir,0,grouped_stable,35.731111496,17.203739875,74.074074074,73.999149944,1.000000000,74,True,0.859668312,1.000000000,0.863346834,0.947368421,0.627957991,0.770031437,True,True,17.586794153,17.203739875,73.962453857,73.999149944,True,True,0.827393468,0.859668312,True,True,True
60.000000000,1,subject2,sleep,red,0,grouped_stable,35.731111496,19.854310247,74.074074074,74.451637315,1.000000000,74,True,0.866665335,1.000000000,0.863346834,0.947368421,0.655946084,0.738785691,True,True,19.804184521,19.854310247,74.408009726,74.451637315,True,True,0.833405626,0.866665335,True,True,True
60.000000000,1,subject2,sleep,ir,1,grouped_stable,16.155025487,16.200953292,66.298342541,66.376531597,1.000000000,65,True,0.895716643,1.000000000,0.935506985,0.985074627,0.662284961,0.897151473,True,True,16.031867021,16.200953292,66.345666156,66.376531597,True,True,0.887966939,0.895716643,True,True,True
60.000000000,1,subject2,sleep,red,1,grouped_stable,16.155025487,19.206829031,66.298342541,66.291895506,1.000000000,65,True,0.901991153,1.000000000,0.935506985,0.985074627,0.687382998,0.878469058,True,True,19.260028896,19.206829031,66.250337438,66.291895506,True,True,0.905453574,0.901991153,True,True,True
60.000000000,1,subject2,sleep,ir,2,grouped_stable,24.950771203,28.285355606,60.913705584,60.844147261,1.000000000,59,True,0.905969487,1.000000000,0.903305094,0.983606557,0.736966296,0.755696772,True,True,30.225918097,28.285355606,60.809704753,60.844147261,True,True,0.934485519,0.905969487,True,True,True
60.000000000,1,subject2,sleep,red,2,grouped_stable,24.950771203,40.422961414,60.913705584,61.375997896,0.933333333,53,True,0.878911620,0.932673007,0.906372341,0.983870968,0.692730165,0.569702853,True,True,40.809814286,40.422961414,61.351197154,61.375997896,True,True,0.896810346,0.87891162,True,True,True
60.000000000,1,subject2,sleep,ir,3,grouped_stable,27.356664577,29.479221591,61.855670103,62.467794133,0.983606557,58,True,0.912991703,1.000000000,0.993127175,1.000000000,0.658839639,0.731128574,True,True,29.872382761,29.479221591,62.465597708,62.467794133,True,True,0.915686826,0.912991703,True,True,True
60.000000000,1,subject2,sleep,red,3,grouped_stable,27.356664577,33.846314859,61.855670103,62.151422079,0.983606557,58,True,0.922475084,1.000000000,0.993127175,1.000000000,0.696773162,0.659604585,True,True,40.20494605,33.846314859,62.221235368,62.151422079,True,True,0.917597806,0.922475084,False,False,False
60.000000000,1,subject2,sleep,ir,4,grouped_stable,18.468119248,26.832111443,70.588235294,70.649136661,1.000000000,70,True,0.879811187,1.000000000,0.942873144,0.972222222,0.604149382,0.839899739,True,True,27.582515793,26.832111443,70.597383332,70.649136661,True,True,0.882030708,0.879811187,True,True,True
60.000000000,1,subject2,sleep,red,4,grouped_stable,18.468119248,46.675185593,70.588235294,70.923448927,1.000000000,70,True,0.871711181,1.000000000,0.942873144,0.972222222,0.571749359,0.780174615,True,True,47.234969622,46.675185593,70.605674512,70.923448927,True,True,0.867293229,0.871711181,True,True,True
60.000000000,1,subject8,sit,ir,0,grouped_stable,12.852181582,12.759237194,85.714285714,85.588336053,1.000000000,84,True,0.915713647,1.000000000,0.971832875,1.000000000,0.691021713,0.800531281,True,True,12.881402845,12.759237194,85.605484597,85.588336053,True,True,0.914471295,0.915713647,True,True,True
60.000000000,1,subject8,sit,red,0,grouped_stable,12.852181582,15.023667344,85.714285714,85.735894519,1.000000000,84,True,0.908303230,1.000000000,0.971832875,1.000000000,0.661380046,0.778557690,True,True,14.088022674,15.023667344,85.840907567,85.735894519,True,True,0.903706883,0.90830323,True,True,True
60.000000000,1,subject8,sit,ir,1,grouped_stable,13.194141346,18.018816624,82.191780822,82.229305835,1.000000000,81,True,0.822035322,1.000000000,0.981982474,0.987951807,0.318207006,0.827637123,True,True,17.309455154,18.018816624,82.198804193,82.229305835,True,True,0.822487934,0.822035322,True,True,True
60.000000000,1,subject8,sit,red,1,grouped_stable,13.194141346,21.498896859,82.191780822,82.302550245,1.000000000,81,True,0.788037555,1.000000000,0.833752918,0.963855422,0.354541880,0.766844704,True,True,20.623424264,21.498896859,82.338482282,82.302550245,True,True,0.789224596,0.788037555,True,True,True
60.000000000,1,subject8,sit,ir,2,grouped_stable,13.509256086,15.328438749,90.909090909,91.617123144,1.000000000,88,True,0.871861616,1.000000000,0.969699324,0.978260870,0.539486272,0.761996892,True,True,14.875946018,15.328438749,91.485707083,91.617123144,True,True,0.833225371,0.871861616,True,True,True
60.000000000,1,subject8,sit,red,2,grouped_stable,13.509256086,16.273262119,90.909090909,90.731211823,0.955555556,83,True,0.895690819,1.000000000,0.969699324,0.989130435,0.623933516,0.709526559,True,True,16.26382382,16.273262119,90.985908446,90.731211823,True,True,0.851934941,0.895690819,True,True,True
60.000000000,1,subject8,sit,ir,3,grouped_stable,15.723301887,24.144425622,82.474226804,83.743418033,0.975903614,79,True,0.895644708,1.000000000,0.972478826,1.000000000,0.610100008,0.692410335,True,True,23.996145553,24.144425622,83.765467337,83.743418033,True,True,0.857914124,0.895644708,True,True,True
60.000000000,1,subject8,sit,red,3,grouped_stable,15.723301887,27.070925113,82.474226804,84.196580482,0.951807229,76,True,0.860391655,0.998577714,0.841900853,0.976190476,0.624897575,0.599359971,True,True,32.523898363,27.070925113,83.809239852,84.196580482,True,True,0.876875184,0.860391655,False,False,False
60.000000000,1,subject8,sit,ir,4,grouped_stable,11.115899351,13.628101856,87.272727273,87.661927412,1.000000000,86,True,0.917361895,1.000000000,0.980676936,1.000000000,0.688770643,0.802964370,True,True,13.513827784,13.628101856,87.640791015,87.661927412,True,True,0.870631397,0.917361895,True,True,True
60.000000000,1,subject8,sit,red,4,grouped_stable,11.115899351,15.012327120,87.272727273,87.875299220,0.988505747,84,True,0.916155357,1.000000000,0.980676936,1.000000000,0.683944493,0.760723175,True,True,26.591624813,15.01232712,87.414558269,87.87529922,True,True,0.859924803,0.916155357,False,False,False
60.000000000,1,subject8,sleep,ir,0,grouped_stable,22.352692391,18.958617942,70.175438596,70.339291250,1.000000000,68,True,0.956076965,1.000000000,0.942873144,1.000000000,0.881434714,0.787608119,True,True,19.166667317,18.958617942,70.339972709,70.33929125,True,True,0.95245953,0.956076965,True,True,True
60.000000000,1,subject8,sleep,red,0,grouped_stable,22.352692391,24.992606401,70.175438596,70.399548284,1.000000000,68,True,0.948818713,1.000000000,0.942873144,1.000000000,0.852401707,0.775212355,True,True,25.216514347,24.992606401,70.383971094,70.399548284,True,True,0.941949709,0.948818713,True,True,True
60.000000000,1,subject8,sleep,ir,1,grouped_stable,33.669966835,30.291579508,76.433121019,75.649072423,0.958333333,66,True,0.921310145,1.000000000,0.979167428,0.960526316,0.745546837,0.661571609,True,True,41.950984541,30.291579508,76.398630982,75.649072423,True,True,0.902275371,0.921310145,False,False,False
60.000000000,1,subject8,sleep,red,1,grouped_stable,33.669966835,46.833756347,76.433121019,77.916674465,0.972972973,69,True,0.907969143,0.944683537,0.942165370,0.986842105,0.758185559,0.575107592,True,True,32.071290583,46.833756347,77.062452316,77.916674465,True,True,0.893874917,0.907969143,False,False,False
60.000000000,1,subject8,sleep,ir,2,grouped_stable,31.681719386,25.590838250,67.415730337,67.245064165,1.000000000,65,True,0.856389798,1.000000000,0.992481239,0.985294118,0.447783835,0.798590059,True,True,25.478144816,25.59083825,67.236725777,67.245064165,True,True,0.826795186,0.856389798,True,True,True
60.000000000,1,subject8,sleep,red,2,grouped_stable,31.681719386,26.672058181,67.415730337,67.445546548,1.000000000,65,True,0.845946968,1.000000000,0.931435777,0.985294118,0.467057978,0.790842200,True,True,26.735728782,26.672058181,67.453621723,67.445546548,True,True,0.831772287,0.845946968,True,True,True
60.000000000,1,subject8,sleep,ir,3,grouped_stable,29.750116713,31.831963173,72.727272727,70.325517060,0.942857143,63,True,0.383332413,0.262874114,0.163701810,0.806818182,0.299935546,0.268293351,False,False,31.717545052,31.831963173,70.39013134,70.32551706,True,True,0.377090987,0.383332413,True,False,False
60.000000000,1,subject8,sleep,red,3,grouped_stable,29.750116713,33.892051365,72.727272727,65.286035043,0.735849057,35,True,0.392111228,0.311347226,0.147225556,0.814814815,0.295057315,0.290106252,False,False,,33.892051365,,65.286035043,False,True,0.395343669,0.392111228,False,False,False
60.000000000,1,subject8,sleep,ir,4,grouped_stable,36.448201994,53.877980693,70.588235294,69.865389295,1.000000000,68,True,0.873801682,1.000000000,0.884195645,0.971428571,0.639582512,0.667957415,True,True,54.465948895,53.877980693,69.886466537,69.865389295,True,True,0.866860395,0.873801682,True,True,True
60.000000000,1,subject8,sleep,red,4,grouped_stable,36.448201994,60.606665383,70.588235294,69.764420058,0.941176471,60,True,0.823515925,0.841749860,0.884195645,0.985507246,0.582610951,0.528787437,True,True,61.296247773,60.606665383,69.769833823,69.764420058,True,True,0.81237072,0.823515925,True,True,True
60.000000000,2,subject12,sit,ir,0,grouped_stable,36.071267841,33.665553515,90.225563910,92.229155891,0.955555556,82,True,0.722309795,0.779538373,0.532182273,0.945054945,0.632463590,0.500792268,True,False,34.555497744,33.665553515,91.80254703,92.229155891,True,True,0.755600287,0.722309795,True,True,False
